 ,Label,Bone Code,Slice,CSA (mm²),X cent. (mm),Y cent. (mm),Density,wX cent. (mm),wY cent. (mm),Theta (rad),R1 (mm),R2 (mm),Imin (mm^4),Imax (mm^4),Ipm (mm^4),Zmax (mm³),Zmin (mm³),Zpol (mm³),Feret Min (mm),Feret Max (mm),Feret Angle (rad),Perimeter (mm),Max Thick 2D (mm),Mean Thick 2D (mm),SD Thick 2D (mm),A (rad),M (rad),IAP(mm^4),IML(mm^4),ZAP(mm³),ZML(mm³),RAP(mm),RML(mm),DAP(mm),DML(mm)
49,AMNH3_8bit_trimmed.tif,0,49,145.020,65.225,45.020,1.800,65.225,45.020,1.129,7.745,9.793,2830.437,4234.952,19.759,432.452,365.456,672.094,15.071,19.714,1.825,58.429,4.860,3.525,1.290,1.361,2.932,4160.771,2904.617,403.082,352.115,10.322,8.249,15.632,19.694
50,AMNH3_8bit_trimmed.tif,0,50,148.175,65.118,44.981,1.800,65.118,44.981,1.101,7.707,9.821,2860.904,4378.532,19.627,445.830,371.218,680.876,15.052,19.657,1.839,58.354,4.860,3.449,1.283,1.361,2.932,4277.731,2961.705,410.928,362.094,10.410,8.179,15.658,19.623
51,AMNH3_8bit_trimmed.tif,0,51,151.557,65.132,45.100,1.800,65.132,45.100,1.136,8.162,9.842,2920.814,4465.950,20.779,453.749,357.858,699.273,15.289,19.604,1.854,59.328,5.011,3.427,1.368,1.361,2.932,4388.897,2997.867,424.659,365.857,10.335,8.194,15.677,19.589
52,AMNH3_8bit_trimmed.tif,0,52,153.563,65.186,45.158,1.800,65.186,45.158,1.121,8.107,9.745,2876.757,4494.059,20.758,461.181,354.866,694.694,15.151,19.569,1.847,119.430,5.151,3.576,1.455,1.361,2.932,4402.573,2968.244,426.602,357.324,10.320,8.307,15.748,19.544
53,AMNH3_8bit_trimmed.tif,0,53,154.906,65.208,45.310,1.800,65.208,45.310,1.130,7.734,9.672,2905.029,4522.359,21.111,467.550,375.633,706.830,15.155,19.536,1.787,121.422,5.151,3.745,1.401,1.361,2.932,4437.144,2990.244,433.397,358.114,10.238,8.350,15.801,19.536
54,AMNH3_8bit_trimmed.tif,0,54,152.252,65.268,45.331,1.800,65.268,45.331,1.113,7.939,9.637,2889.214,4394.987,20.414,456.061,363.908,687.977,15.177,19.498,1.808,117.749,5.145,3.807,1.414,1.361,2.932,4303.893,2980.309,420.642,353.524,10.232,8.430,15.854,19.491
55,AMNH3_8bit_trimmed.tif,0,55,154.793,65.219,45.412,1.800,65.219,45.412,1.119,8.095,9.656,2952.709,4498.101,20.891,465.820,364.776,705.969,15.407,19.458,1.768,65.532,5.238,3.765,1.510,1.361,2.932,4409.491,3041.319,431.947,361.260,10.208,8.419,15.907,19.456
56,AMNH3_8bit_trimmed.tif,0,56,159.695,65.156,45.545,1.800,65.156,45.545,1.127,7.985,9.592,3044.782,4580.020,21.716,477.494,381.293,725.913,15.299,19.429,1.722,60.377,5.312,3.920,1.420,1.361,2.932,4497.529,3127.273,443.712,372.279,10.136,8.400,15.952,19.404
57,AMNH3_8bit_trimmed.tif,0,57,162.640,65.061,45.630,1.800,65.061,45.630,1.121,7.920,9.594,3163.279,4583.772,21.973,477.766,399.405,740.650,15.501,19.359,1.696,62.355,5.367,3.931,1.486,1.361,2.932,4503.034,3244.017,445.516,387.579,10.107,8.370,16.032,19.340
58,AMNH3_8bit_trimmed.tif,0,58,161.604,65.137,45.738,1.800,65.137,45.738,1.145,8.116,9.552,3139.770,4539.326,22.336,475.232,386.860,734.644,15.403,19.343,1.689,58.863,5.397,4.049,1.495,1.361,2.932,4474.799,3204.296,446.110,380.480,10.031,8.422,15.987,19.279
